Using TensorFlow backend.
[94mObteniendo datos...[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LA PARTE DEL LIKE[0m
[93m[AVISO] 	Usuarios: 48161[0m
[93m[AVISO] 	Restaurantes: 7267[0m
[93m[AVISO] Cargando datos generados previamente...[0m
[94mCreando modelo...[0m


##################################################
 MODELV6
##################################################
 modelv60 Básico
##################################################
[93m[AVISO] Existen 5 combinaciones posibles[0m
--------------------------------------------------
b255ef4c03c93c9744ede04683772441
--------------------------------------------------
[1mlearning_rate: [0m0.0001
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 3.682	 1.001	 1.786
1	 2.783	 0.991	 1.466
2	 2.775	 0.980	 1.249
3	 2.787	 0.969	 1.084
4	 2.763	 0.957	 0.952
5	 2.770	 0.945	 0.845
6	 2.764	 0.933	 0.759
7	 2.786	 0.920	 0.691
8	 2.783	 0.907	 0.636
9	 2.763	 0.893	 0.594
10	 2.766	 0.879	 0.559
11	 2.772	 0.865	 0.532
12	 2.785	 0.850	 0.510
13	 2.777	 0.835	 0.491
14	 2.773	 0.820	 0.476
15	 2.785	 0.805	 0.463
16	 2.782	 0.789	 0.452
17	 2.788	 0.773	 0.442
18	 2.787	 0.757	 0.434
19	 2.787	 0.741	 0.427
20	 2.777	 0.725	 0.421
21	 2.771	 0.708	 0.416
22	 2.785	 0.692	 0.411
23	 2.797	 0.675	 0.406
24	 2.790	 0.658	 0.402
25	 2.783	 0.641	 0.397
26	 2.795	 0.624	 0.394
27	 2.924	 0.607	 0.390
28	 2.795	 0.590	 0.387
29	 2.789	 0.574	 0.384
30	 2.794	 0.557	 0.380
31	 2.797	 0.540	 0.377
32	 2.787	 0.523	 0.374
33	 2.780	 0.507	 0.371
34	 2.787	 0.490	 0.369
35	 2.788	 0.474	 0.366
36	 2.787	 0.457	 0.363
37	 2.776	 0.441	 0.361
38	 2.789	 0.425	 0.358
39	 2.786	 0.409	 0.356
40	 2.791	 0.394	 0.353
41	 2.771	 0.378	 0.351
42	 2.788	 0.363	 0.349
43	 2.802	 0.348	 0.346
44	 2.781	 0.333	 0.344
45	 2.786	 0.319	 0.342
46	 2.779	 0.305	 0.340
47	 2.794	 0.291	 0.338
48	 2.797	 0.277	 0.337
49	 2.779	 0.264	 0.335
50	 2.782	 0.251	 0.333
51	 2.777	 0.238	 0.331
52	 2.785	 0.226	 0.330
