Using TensorFlow backend.
[94mObteniendo datos...[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LOS RESTAURANTES[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LOS USUARIOS[0m
[93m[AVISO] 	Usuarios: 563[0m
[93m[AVISO] 	Restaurantes: 570[0m
[93m[AVISO] Cargando datos generados previamente...[0m
[94mCreando modelo...[0m


##################################################
 MODELV6
##################################################
 modelv60 Básico
##################################################
[93m[AVISO] Existen 11 combinaciones posibles[0m
--------------------------------------------------
a04b6b303c1653d06eb145239a1bbb4a
--------------------------------------------------
[1mlearning_rate: [0m0.1
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.491	 1.001	 4.776
1	 0.186	 0.991	 5.372
2	 0.192	 0.980	 5.363
3	 0.185	 0.969	 5.358
4	 0.189	 0.957	 5.356
5	 0.191	 0.945	 5.356
6	 0.186	 0.933	 5.354
7	 0.193	 0.920	 5.354
8	 0.296	 0.907	 5.354
9	 0.190	 0.893	 5.354
10	 0.193	 0.879	 5.354
11	 0.191	 0.865	 5.354
12	 0.187	 0.850	 5.354
13	 0.192	 0.835	 5.354
14	 0.194	 0.820	 5.354
15	 0.191	 0.805	 5.354
16	 0.194	 0.789	 5.354
17	 0.190	 0.773	 5.354
18	 0.188	 0.757	 5.354
19	 0.195	 0.741	 5.354
20	 0.195	 0.725	 5.354
21	 0.194	 0.708	 5.354
22	 0.192	 0.692	 5.354
23	 0.191	 0.675	 5.354
24	 0.194	 0.658	 5.354
25	 0.199	 0.641	 5.354
26	 0.192	 0.624	 5.354
27	 0.192	 0.607	 5.354
28	 0.194	 0.590	 5.354
29	 0.197	 0.574	 5.354
30	 0.195	 0.557	 5.354
31	 0.196	 0.540	 5.354
32	 0.196	 0.523	 5.354
33	 0.199	 0.507	 5.354
34	 0.197	 0.490	 5.354
35	 0.196	 0.474	 5.354
36	 0.200	 0.457	 5.354
37	 0.199	 0.441	 5.354
38	 0.200	 0.425	 5.354
39	 0.197	 0.409	 5.354
40	 0.201	 0.394	 5.354
41	 0.199	 0.378	 5.354
42	 0.204	 0.363	 5.354
43	 0.201	 0.348	 5.354
44	 0.201	 0.333	 5.354
45	 0.204	 0.319	 5.354
46	 0.214	 0.305	 5.354
47	 0.204	 0.291	 5.354
48	 0.197	 0.277	 5.354
49	 0.202	 0.264	 5.354
50	 0.196	 0.251	 5.354
51	 0.203	 0.238	 5.354
52	 0.203	 0.226	 5.354
53	 0.202	 0.214	 5.354
54	 0.203	 0.202	 5.354
55	 0.204	 0.191	 5.354
56	 0.200	 0.180	 5.354
57	 0.199	 0.169	 5.354
58	 0.202	 0.159	 5.354
59	 0.202	 0.149	 5.354
60	 0.204	 0.139	 5.354
61	 0.203	 0.130	 5.354
62	 0.206	 0.121	 5.354
63	 0.200	 0.113	 5.354
64	 0.204	 0.104	 5.354
65	 0.207	 0.097	 5.354
66	 0.207	 0.089	 5.354
67	 0.202	 0.082	 5.354
68	 0.209	 0.075	 5.354
69	 0.206	 0.069	 5.354
70	 0.208	 0.063	 5.354
71	 0.206	 0.057	 5.354
72	 0.203	 0.052	 5.354
73	 0.205	 0.047	 5.354
74	 0.210	 0.042	 5.354
75	 0.209	 0.038	 5.354
76	 0.207	 0.034	 5.354
77	 0.210	 0.030	 5.354
78	 0.199	 0.026	 5.354
79	 0.209	 0.023	 5.354
80	 0.207	 0.020	 5.354
81	 0.210	 0.017	 5.354
82	 0.214	 0.015	 5.354
83	 0.207	 0.013	 5.354
84	 0.211	 0.011	 5.354
85	 0.208	 0.009	 5.354
86	 0.209	 0.008	 5.354
87	 0.207	 0.006	 5.354
88	 0.211	 0.005	 5.354
89	 0.212	 0.004	 5.354
90	 0.215	 0.003	 5.354
91	 0.211	 0.003	 5.354
92	 0.212	 0.002	 5.354
93	 0.216	 0.002	 5.354
94	 0.215	 0.002	 5.354
95	 0.213	 0.001	 5.354
96	 0.221	 0.001	 5.354
97	 0.198	 0.001	 5.354
98	 0.203	 0.001	 5.354
99	 1.055	 0.001	 5.354	48.511	47.000
--------------------------------------------------
26645212b0d7769b910653e2e6303a32
--------------------------------------------------
[1mlearning_rate: [0m0.05
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.486	 1.001	 3.986
1	 0.189	 0.991	 4.638
2	 0.192	 0.980	 4.538
3	 0.190	 0.969	 4.448
4	 0.195	 0.957	 4.408
5	 0.190	 0.945	 4.391
6	 0.193	 0.933	 4.369
7	 0.186	 0.920	 4.353
8	 0.190	 0.907	 4.349
9	 0.188	 0.893	 4.346
10	 0.193	 0.879	 4.342
11	 0.190	 0.865	 4.340
12	 0.192	 0.850	 4.340
13	 0.199	 0.835	 4.339
14	 0.195	 0.820	 4.338
15	 0.190	 0.805	 4.333
16	 0.191	 0.789	 4.326
17	 0.196	 0.773	 4.310
18	 0.193	 0.757	 4.312
19	 0.193	 0.741	 4.330
20	 0.196	 0.725	 4.329
21	 0.191	 0.708	 4.327
22	 0.193	 0.692	 4.326
23	 0.192	 0.675	 4.325
24	 0.198	 0.658	 4.322
25	 0.197	 0.641	 4.318
26	 0.177	 0.624	 4.316
27	 0.185	 0.607	 4.316
28	 0.198	 0.590	 4.316
29	 0.192	 0.574	 4.316
30	 0.192	 0.557	 4.316
31	 0.197	 0.540	 4.315
32	 0.199	 0.523	 4.315
33	 0.195	 0.507	 4.315
34	 0.198	 0.490	 4.316
35	 0.202	 0.474	 4.315
36	 0.202	 0.457	 4.315
37	 0.199	 0.441	 4.315
38	 0.200	 0.425	 4.315
39	 0.200	 0.409	 4.315
40	 0.194	 0.394	 4.315
41	 0.195	 0.378	 4.315
42	 0.202	 0.363	 4.315
43	 0.198	 0.348	 4.315
44	 0.205	 0.333	 4.315
45	 0.201	 0.319	 4.315
46	 0.202	 0.305	 4.315
47	 0.201	 0.291	 4.315
48	 0.205	 0.277	 4.315
49	 0.203	 0.264	 4.315
50	 0.198	 0.251	 4.315
51	 0.200	 0.238	 4.315
52	 0.227	 0.226	 4.315
53	 0.202	 0.214	 4.315
54	 0.203	 0.202	 4.315
55	 0.199	 0.191	 4.315
56	 0.211	 0.180	 4.315
57	 0.203	 0.169	 4.315
58	 0.206	 0.159	 4.315
59	 0.206	 0.149	 4.315
60	 0.202	 0.139	 4.315
61	 0.207	 0.130	 4.315
62	 0.203	 0.121	 4.315
63	 0.206	 0.113	 4.315
64	 0.206	 0.104	 4.315
65	 0.210	 0.097	 4.315
66	 0.196	 0.089	 4.315
67	 0.208	 0.082	 4.315
68	 0.208	 0.075	 4.315
69	 0.206	 0.069	 4.315
70	 0.202	 0.063	 4.315
71	 0.210	 0.057	 4.315
72	 0.204	 0.052	 4.315
73	 0.207	 0.047	 4.315
74	 0.210	 0.042	 4.315
75	 0.208	 0.038	 4.315
76	 0.212	 0.034	 4.315
77	 0.209	 0.030	 4.315
78	 0.196	 0.026	 4.315
79	 0.205	 0.023	 4.315
80	 0.211	 0.020	 4.315
81	 0.208	 0.017	 4.315
82	 0.212	 0.015	 4.315
83	 0.212	 0.013	 4.315
84	 0.210	 0.011	 4.315
85	 0.211	 0.009	 4.315
86	 0.312	 0.008	 4.315
87	 0.211	 0.006	 4.315
88	 0.212	 0.005	 4.315
89	 0.210	 0.004	 4.315
90	 0.213	 0.003	 4.315
91	 0.211	 0.003	 4.315
92	 0.213	 0.002	 4.315
93	 0.211	 0.002	 4.315
94	 0.211	 0.002	 4.315
95	 0.214	 0.001	 4.315
96	 0.210	 0.001	 4.315
97	 0.216	 0.001	 4.315
98	 0.215	 0.001	 4.315
99	 1.062	 0.001	 4.315	49.118	50.000
--------------------------------------------------
7d81bb6891fcddf65189452d2d48eb9d
--------------------------------------------------
[1mlearning_rate: [0m0.01
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.526	 1.001	 1.555
1	 0.191	 0.991	 1.137
2	 0.191	 0.980	 0.850
3	 0.187	 0.969	 0.726
4	 0.195	 0.957	 0.620
5	 0.191	 0.945	 0.541
6	 0.189	 0.933	 0.485
7	 0.190	 0.920	 0.443
8	 0.194	 0.907	 0.412
9	 0.192	 0.893	 0.388
10	 0.192	 0.879	 0.369
11	 0.194	 0.865	 0.355
12	 0.190	 0.850	 0.340
13	 0.186	 0.835	 0.329
14	 0.195	 0.820	 0.312
15	 0.192	 0.805	 0.301
16	 0.193	 0.789	 0.294
17	 0.191	 0.773	 0.289
18	 0.188	 0.757	 0.285
19	 0.193	 0.741	 0.282
20	 0.196	 0.725	 0.279
21	 0.191	 0.708	 0.277
22	 0.193	 0.692	 0.275
23	 0.200	 0.675	 0.273
24	 0.193	 0.658	 0.270
25	 0.197	 0.641	 0.269
26	 0.195	 0.624	 0.267
27	 0.194	 0.607	 0.266
28	 0.195	 0.590	 0.264
29	 0.195	 0.574	 0.263
30	 0.197	 0.557	 0.262
31	 0.197	 0.540	 0.261
32	 0.195	 0.523	 0.261
33	 0.201	 0.507	 0.260
34	 0.200	 0.490	 0.260
35	 0.354	 0.474	 0.259
36	 0.197	 0.457	 0.259
37	 0.199	 0.441	 0.259
38	 0.201	 0.425	 0.258
39	 0.201	 0.409	 0.258
40	 0.202	 0.394	 0.258
41	 0.202	 0.378	 0.258
42	 0.205	 0.363	 0.257
43	 0.197	 0.348	 0.257
44	 0.198	 0.333	 0.257
45	 0.192	 0.319	 0.257
46	 0.202	 0.305	 0.256
47	 0.202	 0.291	 0.256
48	 0.202	 0.277	 0.256
49	 0.203	 0.264	 0.256
50	 0.201	 0.251	 0.256
51	 0.208	 0.238	 0.256
52	 0.204	 0.226	 0.256
53	 0.209	 0.214	 0.256
54	 0.203	 0.202	 0.256
55	 0.206	 0.191	 0.255
56	 0.201	 0.180	 0.255
57	 0.189	 0.169	 0.255
58	 0.199	 0.159	 0.255
59	 0.206	 0.149	 0.255
60	 0.207	 0.139	 0.255
61	 0.203	 0.130	 0.255
62	 0.208	 0.121	 0.255
63	 0.206	 0.113	 0.255
64	 0.209	 0.104	 0.255
65	 0.204	 0.097	 0.255
66	 0.207	 0.089	 0.255
67	 0.208	 0.082	 0.255
68	 0.210	 0.075	 0.255
69	 0.209	 0.069	 0.255
70	 0.206	 0.063	 0.255
71	 0.212	 0.057	 0.255
72	 0.210	 0.052	 0.255
73	 0.209	 0.047	 0.255
74	 0.210	 0.042	 0.255
75	 0.208	 0.038	 0.255
76	 0.210	 0.034	 0.255
77	 0.208	 0.030	 0.255
78	 0.210	 0.026	 0.255
79	 0.204	 0.023	 0.255
